"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol341","C1orf131",128061,"C1orf131","ENSG00000143633"
"gene_symbol342","RPS21",6227,"RPS21","ENSG00000171858"
"gene_symbol343","H2BC17",8348,"H2BC17","ENSG00000274641"
"gene_symbol344","PP2D1",151649,"PP2D1","ENSG00000183977"
"gene_symbol345","APOO",79135,"APOO","ENSG00000184831"
"gene_symbol346","ACP3",55,"ACP3","ENSG00000014257"
"gene_symbol347","CDH12",1010,"CDH12","ENSG00000154162"
"gene_symbol348","AF067845.2",286083,"LOC286083","ENSG00000275427"
"gene_symbol349","CNDP2",55748,"CNDP2","ENSG00000133313"
"gene_symbol350","MRPS21",54460,"MRPS21","ENSG00000266472"
"gene_symbol351","PLAA",9373,"PLAA","ENSG00000137055"
"gene_symbol352","TMEM198B",440104,"TMEM198B","ENSG00000182796"
"gene_symbol353","LINC02288",283575,"LINC02288","ENSG00000246548"
"gene_symbol354","MIR5006",100847026,"MIR5006","ENSG00000284584"
"gene_symbol355","USE1",55850,"USE1","ENSG00000053501"
"gene_symbol356","ROBO2",6092,"ROBO2","ENSG00000185008"
"gene_symbol357","MIR503",574506,"MIR503","ENSG00000208005"
"gene_symbol358","OR6P1",128366,"OR6P1","ENSG00000186440"
"gene_symbol359","OR51T1",401665,"OR51T1","ENSG00000176900"
"gene_symbol360","MIR130B",406920,"MIR130B","ENSG00000283871"
"gene_symbol361","PDXP-DT",101927051,"PDXP-DT","ENSG00000233360"
"gene_symbol362","RNF169",254225,"RNF169","ENSG00000166439"
"gene_symbol363","ISY1",57461,"ISY1","ENSG00000240682"
"gene_symbol364","DDO",8528,"DDO","ENSG00000203797"
"gene_symbol365","HAUS1",115106,"HAUS1","ENSG00000152240"
"gene_symbol366","TTTY8",84673,"TTTY8","ENSG00000183385"
"gene_symbol367","CT45A7",101060211,"CT45A7","ENSG00000273696"
"gene_symbol368","ST8SIA6-AS1",100128098,"ST8SIA6-AS1","ENSG00000204832"
"gene_symbol369","TMC6",11322,"TMC6","ENSG00000141524"
"gene_symbol370","C19orf44",84167,"C19orf44","ENSG00000105072"
"gene_symbol371","MOSPD3",64598,"MOSPD3","ENSG00000106330"
"gene_symbol372","OTUD7A",161725,"OTUD7A","ENSG00000169918"
"gene_symbol373","CAPZA1",829,"CAPZA1","ENSG00000116489"
"gene_symbol374","NAP1L1",4673,"NAP1L1","ENSG00000187109"
