,gene_symbol,entrenz_id
997,MLXIP,22877
998,MRTO4,51154
999,SLC35A5,55032
1000,LIN7A,8825
1001,AHSA1,10598
1002,RASGRF2,5924
1003,GDAP1,54332
1004,ST7-AS1,93653
1005,CDH13,1012
1006,CREG1,8804
1007,AUP1,550
1008,DHX36,170506
1009,PRAMEF2,65122
1010,OR9G4,283189
1011,CYP3A7,1551
1012,H2AW,92815
1013,SPCS2,9789
1014,KRT38,8687
1015,MIR601,693186
1016,MICALL1,85377
1017,ANKHD1-EIF4EBP3,404734
1018,AL590428.1,101928489
1019,LAGE3,8270
1020,SFXN3,81855
1021,MIR5687,100847019
1022,SUGT1P3,283507
1023,TASP1,55617
1024,TSR3,115939
1025,RBBP4,5928
1026,MIR365B,100126356
1027,CLDN10-AS1,100874194
1028,EXOC3L1,283849
1029,SLC25A45,283130
1030,CIC,23152
1031,IQCF3,401067
1032,DUSP26,78986
1033,NTSR1,4923
1034,SDR9C7,121214
1035,BCL2,596
1036,EYA3,2140
1037,TRABD2A,129293
1038,LRRC37A2,474170
1039,PRDM7,11105
1040,SYT13,57586
1041,TAS2R46,259292
1042,TC2N,123036
1043,LINC01880,105373979
1044,LRRC46,90506
1045,EDDM3A,10876
1046,ZNF320,162967
1047,LINC00683,284276
1048,DFFB,1677
1049,KIAA0753,9851
1050,MBNL3,55796
1051,IFT22,64792
1052,EGLN2,112398
1053,MIR4757,100616307
1054,KIF3C,3797
1055,DDR1,780
1056,C3orf14,57415
1057,DPT,1805
1058,ATL1,51062
1059,MYO1A,4640
1060,SKOR1,390598
1061,GFER,2671
1062,TBC1D9,23158
1063,RPS3,6188
1064,TIAL1,7073
1065,PTH,5741
1066,ZNF226,7769
1067,MIR652,724022
1068,NUTM2B,729262
1069,C15orf62,643338
1070,AFM,173
1071,RSPH14,27156
1072,KRT87P,85349
1073,NACA,4666
1074,MIR103B2,100302282
1075,NPAS1,4861
1076,MAP1LC3B,81631
1077,LINC01822,645949
1078,MIR4287,100422828
1079,HINFP,25988
1080,PFKFB4,5210
1081,WDR6,11180
1082,MIR340,442908
1083,MIR5588,100847054
1084,H2BC6,8344
1085,BTBD18,643376
1086,PRR7,80758
1087,ACTE1P,399923
1088,WBP1L,54838
1089,HECW2,57520
1090,PLXND1,23129
1091,TMEM205,374882
1092,FMC1-LUC7L2,100996928
1093,ITIH2,3698
1094,HEATR1,55127
1095,SLC30A9,10463
1096,MAGEB18,286514
1097,CHIT1,1118
1098,KCTD17,79734
1099,MIDEAS,91748
1100,ERCC6L,54821
1101,MIR4744,100616420
1102,FMO2,2327
1103,FSCN3,29999
1104,METTL2B,55798
1105,GCC2-AS1,644903
1106,ITM2C,81618
1107,RIMBP2,23504
1108,HSPD1,3329
1109,TRIM60,166655
1110,ROS1,6098
1111,GSDMD,79792
1112,SF1,7536
1113,LINC02085,152225
1114,PGBD5,79605
1115,LIPA,3988
1116,FAAH,2166
1117,SPTY2D1OS,100506540
1118,RPE,6120
1119,KCNAB2,8514
1120,WDR91,29062
1121,MIR4273,100422955
1122,CFAP94,55259
1123,ART1,417
1124,LINC01290,106144584
1125,FAHD2A,51011
1126,SV2B,9899
1127,EIF1AY,9086
1128,PNMA2,10687
1129,RPL10A,4736
1130,LCE3C,353144
1131,EVPL,2125
1132,C10orf82,143379
1133,MIR217,406999
1134,SORCS3-AS1,100505890
1135,SFXN2,118980
1136,ARNTL,406
1137,MSRB3,253827
1138,EBLN2,55096
1139,LINC00940,100271702
1140,UBL7-AS1,440288
1141,SNORA74C-1,109616974
1142,PEAK3,374872
1143,GFRA4,64096
1144,VNN3,55350
1145,HLTF-AS1,100873945
1146,TRAPPC4,51399
1147,TBC1D4,9882
1148,RSPO1,284654
1149,ALOX12P2,245
1150,ACTL8,81569
1151,TAGLN2,8407
1152,SLC4A5,57835
1153,SNORA32,692063
1154,JPH2,57158
1155,ALKBH8,91801
1156,SH3GL3,6457
1157,SUSD4,55061
1158,MAGI3,260425
1159,TFPI2-DT,105375401
1160,ST7,7982
1161,MID1IP1,58526
1162,RNF115,27246
1163,HAPLN2,60484
1164,UMAD1,729852
1165,AL136524.1,105370340
1166,LMOD2,442721
1167,AL133482.1,107984270
1168,C1QTNF2,114898
1169,UBE2G1,7326
1170,C1QL4,338761
1171,NCSTN,23385
1172,DUXA,503835
1173,MIR3910-1,100500821
1174,CCER2,643669
1175,PLEKHO2,80301
1176,LRRC30,339291
1177,MIR769,768217
1178,MIER2,54531
1179,EXOC1L,644145
1180,TAS2R30,259293
1181,SYT7,9066
1182,MIR4788,100616281
1183,SERHL2,253190
1184,CCDC171,203238
1185,FANCM,57697
1186,RPA4,29935
1187,ZNF263,10127
1188,SOX13,9580
1189,TP53TG3E,102724101
1190,MIR510,574515
1191,DAAM1,23002
1192,PIGO,84720
1193,CCDC160,347475
1194,STH,246744
1195,PDLIM3,27295
1196,PPAN,56342
1197,HNRNPU,3192
1198,CTHRC1,115908
1199,MTARC2,54996
1200,MIR4424,100616328
1201,MIR518D,574489
1202,ETV4,2118
1203,STT3A,3703
1204,ZSCAN2,54993
1205,SPOCD1,90853
1206,MYRIP,25924
1207,TECRL,253017
1208,LINC01720,440704
