"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol37363","GUCA1A","ENSG00000048545","2978","GUCA1A"
"gene_symbol37364","OR5D14","ENSG00000186113","219436","OR5D14"
"gene_symbol37365","RPL12P47","ENSG00000219222","",""
"gene_symbol37366","NELFE","ENSG00000204356","7936","NELFE"
"gene_symbol37367","TEKT2","ENSG00000092850","27285","TEKT2"
"gene_symbol37368","HNRNPA1P2","ENSG00000237285","",""
"gene_symbol37369","ITFG1","ENSG00000129636","81533","ITFG1"
"gene_symbol37370","AL353613.1","ENSG00000232211","",""
"gene_symbol37371","AC104109.4","ENSG00000273345","",""
"gene_symbol37372","CEP290","ENSG00000198707","80184","CEP290"
"gene_symbol37373","MRPL35","ENSG00000132313","51318","MRPL35"
"gene_symbol37374","AC079200.1","ENSG00000285606","",""
"gene_symbol37375","AF130359.1","ENSG00000237735","",""
"gene_symbol37376","AC127071.2","ENSG00000279343","",""
"gene_symbol37377","MBTPS2","ENSG00000012174","51360","MBTPS2"
"gene_symbol37378","ALDH1L1","ENSG00000144908","10840","ALDH1L1"
"gene_symbol37379","SHOX","ENSG00000185960","6473","SHOX"
"gene_symbol37380","C2orf69P3","ENSG00000261299","",""
"gene_symbol37381","TTC39A","ENSG00000085831","22996","TTC39A"
"gene_symbol37382","AC011511.1","ENSG00000167807","",""
"gene_symbol37383","LINC00629","ENSG00000227060","100506757","LINC00629"
"gene_symbol37384","TXNDC12","ENSG00000117862","51060","TXNDC12"
"gene_symbol37385","RAPGEF4","ENSG00000091428","11069","RAPGEF4"
"gene_symbol37386","NRN1","ENSG00000124785","51299","NRN1"
"gene_symbol37387","ARL4AP3","ENSG00000228291","",""
"gene_symbol37388","RN7SKP242","ENSG00000251776","106480908","RN7SKP242"
"gene_symbol37389","AL022578.1","ENSG00000229968","100419784","LOC100419784"
"gene_symbol37390","AL139384.1","ENSG00000274922","",""
"gene_symbol37391","ZNF26","ENSG00000198393","7574","ZNF26"
"gene_symbol37392","AKR1D1","ENSG00000122787","6718","AKR1D1"
"gene_symbol37393","AC004870.2","ENSG00000223829","105375267","LOC105375267"
"gene_symbol37394","AL050341.1","ENSG00000231296","",""
"gene_symbol37395","AC008132.1","ENSG00000161103","102725072","POM121L15P"
"gene_symbol37396","","ENSG00000232995","8490","RGS5"
"gene_symbol37397","DCAF7","ENSG00000136485","10238","DCAF7"
"gene_symbol37398","LSM1P1","ENSG00000233551","",""
"gene_symbol37399","SPNS1","ENSG00000169682","83985","SPNS1"
"gene_symbol37400","MRPL57","ENSG00000173141","78988","MRPL57"
"gene_symbol37401","","ENSG00000253433","552853","NCRNA00250"
"gene_symbol37402","LINC00158","ENSG00000185433","54072","LINC00158"
"gene_symbol37403","AC012409.2","ENSG00000275443","",""
"gene_symbol37404","CCNB3","ENSG00000147082","85417","CCNB3"
"gene_symbol37405","RN7SKP94","ENSG00000222976","106480365","RN7SKP94"
"gene_symbol37406","ADIG","ENSG00000182035","149685","ADIG"
"gene_symbol37407","AC010207.1","ENSG00000260633","",""
"gene_symbol37408","LLPHP2","ENSG00000235514","",""
"gene_symbol37409","LINC00837","ENSG00000235824","100507605","LINC00837"
"gene_symbol37410","AC068473.4","ENSG00000267409","",""
"gene_symbol37411","SMG1P3","ENSG00000180747","100271836","SMG1P3"
"gene_symbol37412","BX248409.1","ENSG00000225591","",""
"gene_symbol37413","FARP1-AS1","ENSG00000231194","",""
"gene_symbol37414","IGHV7-56","ENSG00000253131","28380","IGHV7-56"
"gene_symbol37415","AC139792.1","ENSG00000271771","",""
"gene_symbol37416","ZNF680","ENSG00000173041","340252","ZNF680"
